product_id_erp,onsale_web,price,stock_quantity,stock_status,purchase_price,product_id_web,total_sales,tax_status,product_type,post_title,z_score,CA_article,Rotation_stock,Valorisation_stock,prix_HT,taux_de_marge
4104,True,9.7,35,instock,5.11,15683,15.0,taxable,Vin,Emile Boeckel Riesling Brandluft 2018,-0.8486813532406013,145.5,2.3333333333333335,339.5,8.08,58.12
4105,True,6.8,45,instock,3.51,16504,16.0,taxable,Vin,Emile Boeckel Sylvaner Vieilles Vignes 2019,-0.9576908121918369,108.8,2.8125,306.0,5.67,61.54
4106,True,12.6,24,instock,6.64,15787,9.0,taxable,Vin,Emile Boeckel Pinot Noir Barriques Oberpfoeller 2018,-0.7396718942893656,113.39999999999999,2.6666666666666665,302.4,10.5,58.13
4107,True,35.0,8,instock,17.54,14800,5.0,taxable,Vin,Emile Boeckel Pinot Noir Terres Rouges 2016,0.10233220243741997,175.0,1.6,280.0,29.17,66.31
4108,True,31.7,13,instock,16.54,15353,7.0,taxable,Vin,Zind-Humbrecht Riesling Herrenweg de Turckheim 2017,-0.021713043955365448,221.9,1.8571428571428572,412.09999999999997,26.42,59.73
4115,True,100.0,12,instock,52.7,15382,1.0,taxable,Vin,Zind-Humbrecht Riesling Grand Cru Rangen De Thann Clos Saint-Urbain 2017,2.545647661689254,100.0,12.0,1200.0,83.33,58.12
4130,True,23.0,16,instock,12.48,15339,7.0,taxable,Vin,Zind-Humbrecht Pinot Gris Roche Calcaire 2017,-0.34874142080907233,161.0,2.2857142857142856,368.0,19.17,53.61
4132,True,88.4,7,instock,44.3,11668,5.0,taxable,Vin,Zind-Humbrecht Pinot Gris Grand Cru Rangen De Thann Clos Saint-Urbain 2012,2.109609825884311,442.0,1.4,618.8000000000001,73.67,66.3
4137,True,29.8,18,instock,15.86,13209,7.0,taxable,Vin,Zind-Humbrecht Muscat Grand Cru Goldert 2015,-0.09313303430272668,208.6,2.5714285714285716,536.4,24.83,56.56
4138,True,25.7,0,outofstock,13.01,15341,0.0,taxable,Vin,Zind-Humbrecht Zind 2017,-0.2472498555786116,0.0,0.0,0.0,21.42,64.64
4139,True,77.4,1,instock,39.59,13217,1.0,taxable,Vin,Zind-Humbrecht Gewurztraminer Grand Cru Rangen De Thann Clos Saint-Urbain 2013,1.696125671241693,77.4,1.0,77.4,64.5,62.92
